,Speaker,Repetition,Order,Word,variable,value,measurement,time,Nasal,Height1,Height2,R
0,Ben,1,1.0,boot,oaf_20,-0.040890029507306365,oaf,20,False,high,high,False
1,Ben,1,2.0,birm,oaf_20,-0.023103799887511847,oaf,20,True,high,high,True
2,Ben,1,3.0,bait,oaf_20,0.21184800187958605,oaf,20,False,mid,high,False
3,Ben,1,4.0,bite,oaf_20,0.008302278217540591,oaf,20,False,low,high,False
4,Ben,1,5.0,beat,oaf_20,0.30033430661241095,oaf,20,False,high,high,False
5,Ben,1,6.0,bought,oaf_20,0.1389552310455039,oaf,20,False,low,low,False
6,Ben,1,7.0,Bert,oaf_20,0.38067683927926527,oaf,20,False,mid,mid,True
7,Ben,1,8.0,bout,oaf_20,-0.16257379385156043,oaf,20,False,low,high,False
8,Ben,1,9.0,bin,oaf_20,0.06862822395794835,oaf,20,True,high,high,False
9,Ben,1,10.0,bound,oaf_20,-0.13816471982195552,oaf,20,True,low,high,False
10,Ben,1,11.0,boon,oaf_20,0.33587619992745504,oaf,20,True,high,high,False
11,Ben,1,12.0,boing,oaf_20,0.8220994145233605,oaf,20,True,low,high,False
12,Ben,1,13.0,but,oaf_20,1.0831217666471233,oaf,20,False,mid,mid,False
13,Ben,1,14.0,born,oaf_20,0.4344709561083967,oaf,20,True,mid,mid,True
14,Ben,1,15.0,bort,oaf_20,0.6505395663475829,oaf,20,False,mid,mid,True
15,Ben,1,16.0,bun,oaf_20,0.5405359423751539,oaf,20,True,mid,mid,False
16,Ben,1,17.0,boit,oaf_20,0.4039282289167237,oaf,20,False,low,high,False
17,Ben,1,18.0,Ben,oaf_20,-0.08579069038898987,oaf,20,True,mid,mid,False
18,Ben,1,19.0,barn,oaf_20,0.27897650329152707,oaf,20,True,low,low,True
19,Ben,1,20.0,bet,oaf_20,0.1777768207732354,oaf,20,False,mid,mid,False
20,Ben,1,21.0,bot,oaf_20,0.21202525695094374,oaf,20,False,low,low,False
21,Ben,1,22.0,Bart,oaf_20,0.6086983634758378,oaf,20,False,low,low,True
22,Ben,1,23.0,bat,oaf_20,-0.20937131597030523,oaf,20,False,low,low,False
23,Ben,1,24.0,bean,oaf_20,0.4489834933363965,oaf,20,True,high,high,False
24,Ben,1,25.0,bone,oaf_20,0.41268877767440854,oaf,20,True,mid,high,False
25,Ben,1,26.0,bit,oaf_20,0.9087113730974722,oaf,20,False,high,high,False
26,Ben,1,27.0,ban,oaf_20,0.4205349413411251,oaf,20,True,low,low,False
27,Ben,1,28.0,boat,oaf_20,0.4126732218020954,oaf,20,False,mid,high,False
28,Ben,1,29.0,bomb,oaf_20,-0.020974692205915642,oaf,20,True,low,low,False
29,Ben,1,30.0,bind,oaf_20,-0.016663668749870877,oaf,20,True,low,high,False
30,Ben,1,31.0,bane,oaf_20,0.16406991398503218,oaf,20,True,mid,high,False
31,Ben,2,1.0,boit,oaf_20,0.7192113740390121,oaf,20,False,low,high,False
32,Ben,2,2.0,bane,oaf_20,-0.24616682155676003,oaf,20,True,mid,high,False
33,Ben,2,3.0,bean,oaf_20,0.5176232340980572,oaf,20,True,high,high,False
34,Ben,2,4.0,boot,oaf_20,0.6570887250464361,oaf,20,False,high,high,False
35,Ben,2,5.0,boon,oaf_20,0.41456489774838556,oaf,20,True,high,high,False
36,Ben,2,6.0,bin,oaf_20,0.4847254297111866,oaf,20,True,high,high,False
37,Ben,2,7.0,barn,oaf_20,0.6000656730721653,oaf,20,True,low,low,True
38,Ben,2,8.0,bind,oaf_20,0.41163943856837276,oaf,20,True,low,high,False
39,Ben,2,9.0,bit,oaf_20,0.5967342602067877,oaf,20,False,high,high,False
40,Ben,2,10.0,bort,oaf_20,0.9086207669639992,oaf,20,False,mid,mid,True
41,Ben,2,11.0,bot,oaf_20,0.43786677574335153,oaf,20,False,low,low,False
42,Ben,2,12.0,bat,oaf_20,0.3025424217507556,oaf,20,False,low,low,False
43,Ben,2,13.0,Bart,oaf_20,0.876182679540488,oaf,20,False,low,low,True
44,Ben,2,14.0,Ben,oaf_20,0.5235407425079848,oaf,20,True,mid,mid,False
45,Ben,2,15.0,bet,oaf_20,0.36501589660049877,oaf,20,False,mid,mid,False
46,Ben,2,16.0,boat,oaf_20,0.538735009017357,oaf,20,False,mid,high,False
47,Ben,2,17.0,Bert,oaf_20,0.35979990344988577,oaf,20,False,mid,mid,True
48,Ben,2,18.0,born,oaf_20,0.6721076468547349,oaf,20,True,mid,mid,True
49,Ben,2,19.0,bomb,oaf_20,-0.2126637026998798,oaf,20,True,low,low,False
50,Ben,2,20.0,bite,oaf_20,0.4795378192047941,oaf,20,False,low,high,False
51,Ben,2,21.0,bout,oaf_20,0.03209089126988357,oaf,20,False,low,high,False
52,Ben,2,22.0,bait,oaf_20,0.5467715274373792,oaf,20,False,mid,high,False
53,Ben,2,23.0,beat,oaf_20,0.6514052369963073,oaf,20,False,high,high,False
54,Ben,2,24.0,but,oaf_20,0.49280288463729593,oaf,20,False,mid,mid,False
55,Ben,2,25.0,boing,oaf_20,1.218643025233999,oaf,20,True,low,high,False
56,Ben,2,26.0,bought,oaf_20,0.2181972539737135,oaf,20,False,low,low,False
57,Ben,2,27.0,ban,oaf_20,0.245143982015665,oaf,20,True,low,low,False
58,Ben,2,28.0,bone,oaf_20,0.5306335380076763,oaf,20,True,mid,high,False
59,Ben,2,29.0,birm,oaf_20,0.6983734643454357,oaf,20,True,high,high,True
60,Ben,2,30.0,bun,oaf_20,0.4447381047451113,oaf,20,True,mid,mid,False
61,Ben,2,31.0,bound,oaf_20,-0.10079705833542167,oaf,20,True,low,high,False
62,Ben,3,1.0,Bart,oaf_20,0.6912610193228222,oaf,20,False,low,low,True
63,Ben,3,2.0,bane,oaf_20,0.06925509832116386,oaf,20,True,mid,high,False
64,Ben,3,3.0,bought,oaf_20,0.24076595914465734,oaf,20,False,low,low,False
65,Ben,3,4.0,but,oaf_20,0.7866253393534012,oaf,20,False,mid,mid,False
66,Ben,3,5.0,birm,oaf_20,0.29001380406276256,oaf,20,True,high,high,True
67,Ben,3,6.0,Bert,oaf_20,0.9101302323984553,oaf,20,False,mid,mid,True
68,Ben,3,7.0,bite,oaf_20,0.3243804102880426,oaf,20,False,low,high,False
69,Ben,3,8.0,ban,oaf_20,-0.04333175564038863,oaf,20,True,low,low,False
70,Ben,3,9.0,bean,oaf_20,0.3679036941949114,oaf,20,True,high,high,False
71,Ben,3,10.0,bet,oaf_20,0.35247636251088255,oaf,20,False,mid,mid,False
72,Ben,3,11.0,boat,oaf_20,0.7833347265390904,oaf,20,False,mid,high,False
73,Ben,3,12.0,bot,oaf_20,0.36661828790377277,oaf,20,False,low,low,False
74,Ben,3,13.0,boing,oaf_20,0.7848455565237491,oaf,20,True,low,high,False
75,Ben,3,14.0,bort,oaf_20,0.622563830997619,oaf,20,False,mid,mid,True
76,Ben,3,15.0,bound,oaf_20,-0.24129469505727974,oaf,20,True,low,high,False
77,Ben,3,16.0,bun,oaf_20,0.924218940333432,oaf,20,True,mid,mid,False
78,Ben,3,17.0,bout,oaf_20,0.20728917610669326,oaf,20,False,low,high,False
79,Ben,3,18.0,bait,oaf_20,0.5854825885986752,oaf,20,False,mid,high,False
80,Ben,3,19.0,bind,oaf_20,0.07671345682021438,oaf,20,True,low,high,False
81,Ben,3,20.0,bin,oaf_20,0.45762955633205743,oaf,20,True,high,high,False
82,Ben,3,21.0,bone,oaf_20,0.8861683214703432,oaf,20,True,mid,high,False
83,Ben,3,22.0,born,oaf_20,0.7487611180480295,oaf,20,True,mid,mid,True
84,Ben,3,23.0,bart,oaf_20,0.6551974584652067,oaf,20,False,low,low,True
85,Ben,3,24.0,boon,oaf_20,0.548446103446387,oaf,20,True,high,high,False
86,Ben,3,25.0,bomb,oaf_20,0.046729649391652126,oaf,20,True,low,low,False
87,Ben,3,26.0,bit,oaf_20,0.9567832486507118,oaf,20,False,high,high,False
88,Ben,3,27.0,boit,oaf_20,0.8772126420336422,oaf,20,False,low,high,False
89,Ben,3,28.0,Ben,oaf_20,0.14965808056200697,oaf,20,True,mid,mid,False
90,Ben,3,29.0,boot,oaf_20,0.40979879679967124,oaf,20,False,high,high,False
91,Ben,3,30.0,bat,oaf_20,-0.3641313678679701,oaf,20,False,low,low,False
92,Ben,3,31.0,beat,oaf_20,0.19523241987886567,oaf,20,False,high,high,False
93,Ben,4,1.0,bun,oaf_20,0.5720367202642881,oaf,20,True,mid,mid,False
94,Ben,4,2.0,boing,oaf_20,0.4915638730530563,oaf,20,True,low,high,False
95,Ben,4,3.0,boat,oaf_20,0.28910951664329604,oaf,20,False,mid,high,False
96,Ben,4,4.0,bat,oaf_20,-0.5457716942127049,oaf,20,False,low,low,False
97,Ben,4,5.0,bind,oaf_20,0.1526748281505943,oaf,20,True,low,high,False
98,Ben,4,6.0,Bert,oaf_20,0.4905650223045281,oaf,20,False,mid,mid,True
99,Ben,4,7.0,boon,oaf_20,-0.00027814991336059055,oaf,20,True,high,high,False
100,Ben,4,8.0,Bart,oaf_20,0.6054661534102114,oaf,20,False,low,low,True
101,Ben,4,9.0,but,oaf_20,0.6758582495424457,oaf,20,False,mid,mid,False
102,Ben,4,10.0,Ben,oaf_20,0.44163620922386265,oaf,20,True,mid,mid,False
103,Ben,4,11.0,beat,oaf_20,0.6267171124502078,oaf,20,False,high,high,False
104,Ben,4,12.0,barn,oaf_20,1.123108955158178,oaf,20,True,low,low,True
105,Ben,4,13.0,bout,oaf_20,-0.22545376820674978,oaf,20,False,low,high,False
106,Ben,4,14.0,bound,oaf_20,0.03503518124269641,oaf,20,True,low,high,False
107,Ben,4,15.0,bean,oaf_20,0.2792432728561953,oaf,20,True,high,high,False
108,Ben,4,16.0,bait,oaf_20,0.6918221223662575,oaf,20,False,mid,high,False
109,Ben,4,17.0,boit,oaf_20,0.9136827023967039,oaf,20,False,low,high,False
110,Ben,4,18.0,bane,oaf_20,0.24477377954561627,oaf,20,True,mid,high,False
111,Ben,4,19.0,bite,oaf_20,0.5215390838153401,oaf,20,False,low,high,False
112,Ben,4,20.0,birm,oaf_20,0.7829968639088505,oaf,20,True,high,high,True
113,Ben,4,21.0,boot,oaf_20,1.1468893809093037,oaf,20,False,high,high,False
114,Ben,4,22.0,bort,oaf_20,0.7799625136226456,oaf,20,False,mid,mid,True
115,Ben,4,23.0,bought,oaf_20,0.35246012436346796,oaf,20,False,low,low,False
116,Ben,4,24.0,bet,oaf_20,0.6882135693546694,oaf,20,False,mid,mid,False
117,Ben,4,25.0,bit,oaf_20,0.25316248837300875,oaf,20,False,high,high,False
118,Ben,4,26.0,bomb,oaf_20,-0.016813769272190634,oaf,20,True,low,low,False
119,Ben,4,27.0,ban,oaf_20,0.7213183760073211,oaf,20,True,low,low,False
120,Ben,4,28.0,bone,oaf_20,0.7174983177142822,oaf,20,True,mid,high,False
121,Ben,4,29.0,bot,oaf_20,0.42892760736410623,oaf,20,False,low,low,False
122,Ben,4,30.0,born,oaf_20,0.9050831705629623,oaf,20,True,mid,mid,True
123,Ben,4,31.0,bin,oaf_20,0.6839875573762656,oaf,20,True,high,high,False
124,Ben,5,1.0,beat,oaf_20,0.6525356303843957,oaf,20,False,high,high,False
125,Ben,5,2.0,bin,oaf_20,0.431047163194282,oaf,20,True,high,high,False
126,Ben,5,3.0,birm,oaf_20,0.7988440676903139,oaf,20,True,high,high,True
127,Ben,5,4.0,bet,oaf_20,-0.3022935005027411,oaf,20,False,mid,mid,False
128,Ben,5,5.0,boing,oaf_20,0.2975117345176974,oaf,20,True,low,high,False
129,Ben,5,6.0,Bert,oaf_20,0.7268064604683937,oaf,20,False,mid,mid,True
130,Ben,5,7.0,bat,oaf_20,-0.5708967477337752,oaf,20,False,low,low,False
131,Ben,5,8.0,Bart,oaf_20,0.23737218633500673,oaf,20,False,low,low,True
132,Ben,5,9.0,Ben,oaf_20,0.145036758389821,oaf,20,True,mid,mid,False
133,Ben,5,10.0,bomb,oaf_20,0.0530322338688401,oaf,20,True,low,low,False
134,Ben,5,11.0,born,oaf_20,0.9230875917602017,oaf,20,True,mid,mid,True
135,Ben,5,12.0,bot,oaf_20,-0.0013530061081905211,oaf,20,False,low,low,False
136,Ben,5,13.0,bind,oaf_20,0.6170425879666156,oaf,20,True,low,high,False
137,Ben,5,14.0,bean,oaf_20,-0.04406697528971514,oaf,20,True,high,high,False
138,Ben,5,15.0,boon,oaf_20,0.5826046157657236,oaf,20,True,high,high,False
139,Ben,5,16.0,but,oaf_20,0.44722977341562,oaf,20,False,mid,mid,False
140,Ben,5,17.0,barn,oaf_20,0.6499286572217413,oaf,20,True,low,low,True
141,Ben,5,18.0,bort,oaf_20,0.5826563322184138,oaf,20,False,mid,mid,True
142,Ben,5,19.0,bit,oaf_20,0.5588393365218504,oaf,20,False,high,high,False
143,Ben,5,20.0,bait,oaf_20,0.40102705873032257,oaf,20,False,mid,high,False
144,Ben,5,21.0,bite,oaf_20,1.0583510868137478,oaf,20,False,low,high,False
145,Ben,5,22.0,bout,oaf_20,0.03688209994233146,oaf,20,False,low,high,False
146,Ben,5,23.0,ban,oaf_20,-0.00292155656643244,oaf,20,True,low,low,False
147,Ben,5,24.0,bought,oaf_20,0.3897605135249985,oaf,20,False,low,low,False
148,Ben,5,25.0,boit,oaf_20,0.5380171191556075,oaf,20,False,low,high,False
149,Ben,5,26.0,bone,oaf_20,0.28858512000031866,oaf,20,True,mid,high,False
150,Ben,5,27.0,bun,oaf_20,0.09549376126282683,oaf,20,True,mid,mid,False
151,Ben,5,28.0,boat,oaf_20,0.16236436268641835,oaf,20,False,mid,high,False
152,Ben,5,29.0,bane,oaf_20,-0.2231944824357962,oaf,20,True,mid,high,False
153,Ben,5,30.0,bound,oaf_20,0.2767120322298025,oaf,20,True,low,high,False
154,Ben,5,31.0,boot,oaf_20,0.6923907304358091,oaf,20,False,high,high,False
155,Aurora,1,1.0,boot,oaf_20,-0.14317548229769705,oaf,20,False,high,high,False
156,Aurora,1,2.0,birm,oaf_20,0.044442381987088116,oaf,20,True,high,high,True
