Speaker,Repetition,Order,Word,oaf_20,oap_20,naf_20,oaf_50,oap_50,naf_50,oaf_80,oap_80,naf_80
Ben,1,1,boot,0.07070384,0.01528216,0.01994897,0.03895882,0.0032087,0.0079467,0.0492562,0.0059154,0.00067062
Ben,1,2,birm,0.07200729,0.00231787,-0.0130968,0.03555298,0.00244365,0.02353309,0.04043555,0.00137745,0.03302002
Ben,1,3,bait,0.08922555,0.00407186,-0.0166853,0.12616109,0.00345667,-0.0236676,0.09782188,0.00264848,0.02991237
Ben,1,4,bite,0.07430886,0.00208363,-0.0138481,0.09802088,0.00246621,-0.0146004,0.12017822,0.00326323,0.02436192
Ben,1,5,beat,0.0957102,0.00358045,-0.0253999,0.09375138,0.00329142,-0.0266649,0.08724831,0.00274969,0.03156918
Ben,1,6,bought,0.08388366,0.00309708,-0.007356,0.08792535,0.00237342,-0.0218139,0.16678923,0.00400241,0.02145894
Ben,1,7,Bert,0.10159804,0.00570394,0.01580811,0.11142558,0.00445772,0.00832725,0.13302927,0.0040462,0.006073
Ben,1,8,bout,0.06178634,0.00202401,0.00440844,0.12746277,0.00288475,0.0159075,0.14822423,0.00546203,0.03030396
Ben,1,9,bin,0.0787298,0.00408084,-0.066283,0.08208689,0.0025737,-0.0507881,0.08468628,0.00360449,-0.0222893
Ben,1,10,bound,0.06357514,0.00218637,-0.0642146,0.07438816,0.00199873,-0.0443445,0.09083074,0.00255672,-0.0171837
Ben,1,11,boon,0.09831486,0.00667626,-0.0197759,0.07400513,0.00256396,0.04944824,0.08407593,0.00585402,0.08457324
Ben,1,12,boing,0.13394735,0.01422434,0.00252286,0.101331,0.00481305,-0.003479,0.12466517,0.00448758,-0.0055558
Ben,1,13,but,0.15307617,0.00531089,0.01287842,0.14422383,0.0040875,0.01479301,0.14404879,0.00375577,0.01818848
Ben,1,14,born,0.1055403,0.00705979,0.0177275,0.12631224,0.00347902,0.01861572,0.15585463,0.00592709,0.01983643
Ben,1,15,bort,0.12137472,0.01490382,0.01916504,0.15381661,0.00559024,0.02090454,0.18981112,0.0055578,0.01470947
Ben,1,16,bun,0.11331319,0.00380961,0.01733398,0.08994749,0.00244892,0.0212219,0.08660889,0.00229277,0.01928221
Ben,1,17,boit,0.103302,0.00732803,0.02029419,0.13182493,0.00315969,0.01330792,0.11831628,0.00321063,0.01852275
Ben,1,18,Ben,0.06741333,0.0040256,0.00954005,0.08575439,0.00231775,0.01205565,0.08688008,0.00238583,0.01733414
Ben,1,19,barn,0.09414501,0.003213,0.01223755,0.08877564,0.00250223,0.01931782,0.08141659,0.00255487,0.02190755
Ben,1,20,bet,0.08672867,0.00420545,0.01193237,0.13357162,0.00302258,0.01364136,0.18062649,0.00521708,0.01989746
Ben,1,21,bot,0.08923854,0.00071973,0.01083374,0.13568947,0.0005077,0.00868737,0.19947705,0.00160862,0.02090649
Ben,1,22,Bart,0.11830842,0.00491198,0.01443481,0.13524262,0.00409686,0.01873694,0.17488377,0.00491388,0.01878635
Ben,1,23,bat,0.05835682,0.00158194,0.00958252,0.08769796,0.00066232,0.00854492,0.13706379,0.00109074,0.01876725
Ben,1,24,bean,0.10660384,0.00229663,0.01535034,0.07658522,0.00209978,0.0284105,0.04907227,0.00075286,0.02206249
Ben,1,25,bone,0.10394401,0.00479009,0.01422119,0.06086244,0.00263794,0.02059937,0.07697579,0.00432561,0.02044631
Ben,1,26,bit,0.14029464,0.01120389,0.01235962,0.13951428,0.00527344,0.01452536,0.1641744,0.0050987,0.019104
Ben,1,27,ban,0.10451901,0.00363673,0.00768077,0.09625097,0.00339235,0.02520773,0.09854126,0.00237165,0.02243042
Ben,1,28,boat,0.10394287,0.00651485,0.01583862,0.14431267,0.00668035,0.01937866,0.16722887,0.00656487,0.01806641
Ben,1,29,bomb,0.07216332,0.00665108,0.0240457,0.06317736,0.00533521,0.02334527,0.07458683,0.00546407,0.0211792
Ben,1,30,bind,0.07247925,0.00455943,0.01714174,0.07312012,0.00338127,0.02224731,0.07919401,0.00332756,0.01998901
Ben,1,31,bane,0.08572417,0.00512052,0.0126645,0.06680298,0.00509338,0.02325439,0.07608008,0.00421069,0.02270508
Ben,2,1,boit,0.12640728,0.01220029,0.0295105,0.14507845,0.0100412,0.02337738,0.1532148,0.0098152,0.02267532
Ben,2,2,bane,0.05566029,0.00694192,0.02026367,0.09036312,0.00654654,0.03867101,0.10308829,0.00589085,0.04495231
Ben,2,3,bean,0.11163405,0.00742487,0.01442698,0.1131897,0.00559492,0.01145965,0.10971069,0.00518844,0.02196211
Ben,2,4,boot,0.12185467,0.00811386,0.02658081,0.11294341,0.00661207,0.02639771,0.12408447,0.00704965,0.02529907
Ben,2,5,boon,0.1040815,0.00854008,0.02452987,0.10186641,0.00625749,0.02294991,0.1447234,0.0123178,0.02654238
Ben,2,6,bin,0.10922316,0.00808664,0.01531956,0.12967884,0.00741803,0.01801502,0.12729003,0.00670214,0.02462769
Ben,2,7,barn,0.11767578,0.00719068,0.02012637,0.11803563,0.00714646,0.0304807,0.12826505,0.0061634,0.02740479
Ben,2,8,bind,0.10386711,-0.0003445,0.00201416,0.11890146,-0.0006115,0.01483652,0.12170556,-0.0006104,0.02926636
Ben,2,9,bit,0.11743164,0.00991485,0.02319336,0.15097209,0.004945,0.0235603,0.15747841,0.00454213,0.02758789
Ben,2,10,bort,0.140288,0.01701797,0.03149321,0.15028142,0.00896835,0.03109741,0.21012692,0.00752035,0.02981567
Ben,2,11,bot,0.10578916,0.00615305,0.02041626,0.12789778,0.00543921,0.0234375,0.10539129,0.00360488,0.02804565
Ben,2,12,bat,0.09587202,0.00510079,0.02490234,0.14690386,0.00636799,0.02728084,0.14207417,0.0060785,0.03140061
Ben,2,13,Bart,0.1379108,0.00657392,0.02780338,0.13543349,0.00485376,0.03082275,0.12740957,0.00248392,0.03094482
Ben,2,14,Ben,0.11206771,0.00395101,0.02078107,0.1112677,0.00192332,0.01196289,0.11233521,0.0024015,0.02746582
Ben,2,15,bet,0.10045034,0.00747304,0.025007,0.11334481,0.00685316,0.02395759,0.13186646,0.00741418,0.02996826
Ben,2,16,boat,0.11318121,0.01030225,0.02728271,0.10748291,0.00875976,0.02853394,0.09786929,0.00915873,0.02838135
Ben,2,17,Bert,0.10006809,0.02005058,0.02856445,0.08216043,0.01780309,0.02917683,0.09898368,0.01705195,0.02984619
Ben,2,18,born,0.12295532,0.02243069,0.02236938,0.13619921,0.02124731,0.03225634,0.11985148,0.01945325,0.02956128
Ben,2,19,bomb,0.05811554,0.01154581,0.00384655,0.07903428,0.01131362,0.01678682,0.09610402,0.01119951,0.03298928
Ben,2,20,bite,0.10884299,0.00273226,0.02807617,0.11611938,0.00290198,0.0291748,0.10536549,0.00299694,0.02716064
Ben,2,21,bout,0.07605219,0.00047946,0.02401733,0.13090316,0.00053513,0.027771,0.12025854,-0.0002413,0.0302124
Ben,2,22,bait,0.11377016,0.0021677,0.02679444,0.13706595,0.00218576,0.02758789,0.12531301,0.00246517,0.02593994
Ben,2,23,beat,0.12143816,0.00647844,0.02435303,0.13223455,0.0023132,0.02041626,0.12150087,0.00202203,0.02334595
Ben,2,24,but,0.10981511,0.00504977,0.02157818,0.11116099,0.00267136,0.01750094,0.07686372,0.00210839,0.02536011
Ben,2,25,boing,0.16300774,0.01405848,0.01907302,0.13116455,0.00404268,0.01873633,0.12185669,0.00324144,0.03447342
Ben,2,26,bought,0.08969085,0.00437264,0.02215402,0.10757237,0.0028968,0.02718991,0.12850088,0.00362925,0.03186035
Ben,2,27,ban,0.09166562,0.00417285,0.01330429,0.11102883,0.00136451,0.01092665,0.09738126,0.006106,0.04455566
